순위,종목코드,종목명,시장구분,종가,대비,등락률,거래량,거래대금,시가총액,시가총액비중,상장주식수
"1","005930","삼성전자","KOSPI","70600","200","0.28","11813298","839285675902","421466648030000","16.01","5969782550"
"2","000660","SK하이닉스","KOSPI","106000","500","0.47","2058581","220016997000","77168250690000","2.93","728002365"
"3","035420","NAVER","KOSPI","411500","9000","2.24","537251","221558769000","67594387042500","2.57","164263395"
"4","035720","카카오","KOSPI","130000","5500","4.42","6000056","774754591500","57896971600000","2.20","445361320"
"5","207940","삼성바이오로직스","KOSPI","865000","-9000","-1.03","45863","40131390000","57232725000000","2.17","66165000"
"6","051910","LG화학","KOSPI","790000","6000","0.77","286862","226640064000","55767950970000","2.12","70592343"
"7","005935","삼성전자우","KOSPI","66600","400","0.60","1501071","99484539000","54804254220000","2.08","822886700"
"8","006400","삼성SDI","KOSPI","751000","19000","2.60","307995","230308179000","51642162030000","1.96","68764530"
"9","005380","현대차","KOSPI","214000","5500","2.64","1122338","240257189000","45724992018000","1.74","213668187"
"10","000270","기아","KOSPI","87000","2000","2.35","1716659","149134260000","35266611189000","1.34","405363347"
"11","068270","셀트리온","KOSPI","208500","-1500","-0.71","426123","89495356000","28759388286000","1.09","137934716"
"12","323410","카카오뱅크","KOSPI","60000","600","1.01","1555603","92982653200","28506014220000","1.08","475100237"
"13","005490","POSCO","KOSPI","297500","-3000","-1.00","309999","92816700500","25938083412500","0.99","87186835"
"14","012330","현대모비스","KOSPI","252000","-500","-0.20","239623","60746844000","23887859688000","0.91","94793094"
"15","105560","KB금융","KOSPI","56000","600","1.08","1101857","61940035100","23285243520000","0.88","415807920"
"16","259960","크래프톤","KOSPI","468000","-4000","-0.85","152352","71481015000","22911663060000","0.87","48956545"
"17","017670","SK텔레콤","KOSPI","309500","0","0.00","0","0","22302614258500","0.85","72060143"
"18","096770","SK이노베이션","KOSPI","239500","-4000","-1.64","328207","79200685000","22145502578000","0.84","92465564"
"19","377300","카카오페이","KOSPI","169000","-24000","-12.44","3482190","620264124500","22032044125000","0.84","130367125"
"20","028260","삼성물산","KOSPI","116500","0","0.00","244253","28726526000","21772344936500","0.83","186887081"
"21","066570","LG전자","KOSPI","122500","500","0.41","767101","95077651500","20046857215000","0.76","163647814"
"22","302440","SK바이오사이언스","KOSPI","258500","9500","3.82","973739","244930716000","19775250000000","0.75","76500000"
"23","055550","신한지주","KOSPI","37950","100","0.26","1061129","40544368700","19604953074300","0.74","516599554"
"24","051900","LG생활건강","KOSPI","1239000","8000","0.65","51019","63585097000","19350946083000","0.74","15618197"
"25","034730","SK","KOSPI","249500","1000","0.40","109427","27502564500","17554894101500","0.67","70360297"
"26","015760","한국전력","KOSPI","23150","550","2.43","2751733","63851570700","14861468382550","0.56","641964077"
"27","003550","LG","KOSPI","93100","700","0.76","264241","24733781600","14644722448300","0.56","157300993"
"28","352820","하이브","KOSPI","356500","10000","2.89","940510","335930701000","13921616260500","0.53","39050817"
"29","032830","삼성생명","KOSPI","68100","100","0.15","176767","12079373900","13620000000000","0.52","200000000"
"30","034020","두산중공업","KOSPI","26250","1650","6.71","50549378","1339566469550","13616021580000","0.52","518705584"
"31","086790","하나금융지주","KOSPI","44450","250","0.57","867199","38596493850","13345759655900","0.51","300242062"
"32","091990","셀트리온헬스케어","KOSDAQ","84400","0","0.00","457060","38645220100","13083617863600","0.50","155019169"
"33","036570","엔씨소프트","KOSPI","595000","-62000","-9.44","1343462","789829984000","13062643090000","0.50","21954022"
"34","018260","삼성에스디에스","KOSPI","157000","1000","0.64","66405","10466043500","12148314600000","0.46","77377800"
"35","009150","삼성전기","KOSPI","160000","500","0.31","549756","88942800000","11950991360000","0.45","74693696"
"36","033780","KT&G","KOSPI","85500","1900","2.27","2005484","171365981700","11738508493500","0.45","137292497"
"37","003670","포스코케미칼","KOSPI","146000","1000","0.69","224429","32646172500","11309630120000","0.43","77463220"
"38","010950","S-Oil","KOSPI","99300","-700","-0.70","290795","28927092000","11179471245600","0.42","112582792"
"39","011200","HMM","KOSPI","27000","250","0.93","2770056","75061330800","10945597149000","0.42","405392487"
"40","090430","아모레퍼시픽","KOSPI","187000","-2000","-1.06","170083","32037833000","10938145933000","0.42","58492759"
"41","000810","삼성화재","KOSPI","229000","-4500","-1.93","86428","19911205000","10848837673000","0.41","47374837"
"42","361610","SK아이이테크놀로지","KOSPI","152000","-3000","-1.94","510806","77777422500","10837233984000","0.41","71297592"
"43","251270","넷마블","KOSPI","124000","-1500","-1.20","196445","24645493000","10658234248000","0.40","85953502"
"44","003490","대한항공","KOSPI","30300","100","0.33","1254914","38135229850","10538970997500","0.40","347820825"
"45","247540","에코프로비엠","KOSDAQ","455900","30900","7.27","401216","178617519600","9993084549400","0.38","21919466"
"46","329180","현대중공업","KOSPI","112500","-4000","-3.43","292162","33272401000","9986975550000","0.38","88773116"
"47","316140","우리금융지주","KOSPI","13600","300","2.26","2293151","30940575500","9901623466400","0.38","728060549"
"48","010130","고려아연","KOSPI","510000","-2000","-0.39","51397","26303349000","9623700000000","0.37","18870000"
"49","024110","기업은행","KOSPI","11250","200","1.81","1141642","12773669000","8373381603750","0.32","744300587"
"50","030200","KT","KOSPI","30700","200","0.66","469972","14460850100","8016132505600","0.30","261111808"
